Benchmark,Source,Metric,Expected,Actual,AbsDiff,RelDiff,Tolerance,Passed,Note
5. Desirability 함수 경계점,NIST Handbook 5.5.3.2.2 / Derringer & Suich (1980),"d_larger(y=25, L=10, T=20) = 1",1,1,0.0,0.0,1e-09,True,
5. Desirability 함수 경계점,NIST Handbook 5.5.3.2.2 / Derringer & Suich (1980),"d_smaller(y=2, T=5, U=15) = 1",1,1,0.0,0.0,1e-09,True,
5. Desirability 함수 경계점,NIST Handbook 5.5.3.2.2 / Derringer & Suich (1980),"d_smaller(y=10, T=5, U=15) = 0.5 (선형)",0.5,0.5,0.0,0.0,1e-09,True,
5. Desirability 함수 경계점,NIST Handbook 5.5.3.2.2 / Derringer & Suich (1980),"d_smaller(y=20, T=5, U=15) = 0",0.0000e+00,0.0000e+00,0.0,0.0,1e-09,True,
5. Desirability 함수 경계점,NIST Handbook 5.5.3.2.2 / Derringer & Suich (1980),"d_target(y=3, L=4, T=5, U=6) = 0",0.0000e+00,0.0000e+00,0.0,0.0,1e-09,True,
5. Desirability 함수 경계점,NIST Handbook 5.5.3.2.2 / Derringer & Suich (1980),"d_target(y=4.5, T=5) = 0.5 (좌측 선형)",0.5,0.5,0.0,0.0,1e-09,True,
5. Desirability 함수 경계점,NIST Handbook 5.5.3.2.2 / Derringer & Suich (1980),"d_target(y=5, T=5) = 1",1,1,0.0,0.0,1e-09,True,
5. Desirability 함수 경계점,NIST Handbook 5.5.3.2.2 / Derringer & Suich (1980),"d_target(y=5.5, T=5, U=6) = 0.5 (우측 선형)",0.5,0.5,0.0,0.0,1e-09,True,
5. Desirability 함수 경계점,NIST Handbook 5.5.3.2.2 / Derringer & Suich (1980),Overall D = (0.5×0.8×0.6)^(1/3),0.621447,0.621447,0.0,0.0,1e-09,True,
5. Desirability 함수 경계점,NIST Handbook 5.5.3.2.2 / Derringer & Suich (1980),한 응답 d=0이면 Overall D=0,0.0000e+00,0.0000e+00,0.0,0.0,1e-12,True,
6. NIST Derringer-Suich 타이어 트레드 (E2E),NIST Handbook §5.5.3.2.2 / Derringer & Suich (1980),NIST x*에서 Y1(x*) ≈ 136.4,136.4,136.459975,0.05997499999998013,0.0004396994134895904,0.5,True,응답 모델 재현 검증
6. NIST Derringer-Suich 타이어 트레드 (E2E),NIST Handbook §5.5.3.2.2 / Derringer & Suich (1980),NIST x*에서 Y2(x*) ≈ 1571.05,1571.05,1572.08455,1.0345499999998538,0.000658508640717898,5.0,True,
6. NIST Derringer-Suich 타이어 트레드 (E2E),NIST Handbook §5.5.3.2.2 / Derringer & Suich (1980),NIST x*에서 Y3(x*) ≈ 450.56,450.56,450.177,0.38299999999998136,0.0008500532670454132,0.5,True,
6. NIST Derringer-Suich 타이어 트레드 (E2E),NIST Handbook §5.5.3.2.2 / Derringer & Suich (1980),NIST x*에서 Y4(x*) ≈ 69.26,69.26,69.253205,0.006794999999982565,9.810857637861052e-05,0.5,True,
6. NIST Derringer-Suich 타이어 트레드 (E2E),NIST Handbook §5.5.3.2.2 / Derringer & Suich (1980),NIST x*에서 d1 ≈ 0.34 (≈(136.4-120)/50),0.34,0.329199,0.010800500000000324,0.031766176470589186,0.02,True,
6. NIST Derringer-Suich 타이어 트레드 (E2E),NIST Handbook §5.5.3.2.2 / Derringer & Suich (1980),NIST x*에서 d2 = 1.0,1,1,0.0,0.0,1e-06,True,
6. NIST Derringer-Suich 타이어 트레드 (E2E),NIST Handbook §5.5.3.2.2 / Derringer & Suich (1980),NIST x*에서 d3 ≈ 0.49,0.49,0.50177,0.01177000000000017,0.02402040816326565,0.03,True,
6. NIST Derringer-Suich 타이어 트레드 (E2E),NIST Handbook §5.5.3.2.2 / Derringer & Suich (1980),NIST x*에서 d4 ≈ 0.76,0.76,0.766239,0.006239333333330266,0.00820964912280298,0.03,True,
6. NIST Derringer-Suich 타이어 트레드 (E2E),NIST Handbook §5.5.3.2.2 / Derringer & Suich (1980),NIST x*에서 D ≈ 0.596,0.596,0.596461,0.00046103143780984457,0.000773542680889001,0.01,True,발표된 D = 0.596
6. NIST Derringer-Suich 타이어 트레드 (E2E),NIST Handbook §5.5.3.2.2 / Derringer & Suich (1980),자체 최적화 D ≥ NIST 발표 D (0.596),>= 0.596,0.6383,nan,nan,1e-06,True,최적화기가 NIST 발표 해와 동등 또는 더 나은 해를 찾아야 함
6. NIST Derringer-Suich 타이어 트레드 (E2E),NIST Handbook §5.5.3.2.2 / Derringer & Suich (1980),최적화 수렴 상태,OK,OK,nan,nan,0.0,True,
7. 최적화 수렴성 (Convex 검증),자체 정의 테스트 케이스,x* = 0.5 (단순 포물선),0.5,0.5,1.7989683076535812e-09,3.5979366153071624e-09,0.01,True,
7. 최적화 수렴성 (Convex 검증),자체 정의 테스트 케이스,D ≈ 1.0 (이상적 최적),1,1,0.0,0.0,0.01,True,
7. 최적화 수렴성 (Convex 검증),자체 정의 테스트 케이스,독립 트레이드오프: x1 = 1,1,1,0.0,0.0,0.02,True,
7. 최적화 수렴성 (Convex 검증),자체 정의 테스트 케이스,독립 트레이드오프: x2 = 0,0.0000e+00,0.0000e+00,0.0,0.0,0.02,True,
7. 최적화 수렴성 (Convex 검증),자체 정의 테스트 케이스,독립 트레이드오프: D = 1.0,1,1,0.0,0.0,0.02,True,
7. 최적화 수렴성 (Convex 검증),자체 정의 테스트 케이스,상충 응답: x* = 0.5,0.5,0.5,3.472925835801277e-10,6.945851671602554e-10,0.01,True,
7. 최적화 수렴성 (Convex 검증),자체 정의 테스트 케이스,상충 응답: D = 0.5,0.5,0.5,1.1102230246251565e-16,2.220446049250313e-16,0.01,True,
